Control Voltage,Amp Out
0,0
0.025,0.0978
0.05,0.21
0.075,0.318
0.1,0.428
0.125,0.544
0.15,0.68
0.175,0.796
0.2,0.9
0.225,1.026
0.25,1.194
0.275,1.266
0.3,1.464
0.325,1.6
0.35,1.74
0.375,1.86
0.4,1.97
0.425,2.1
0.45,2.19
