Control Voltage,Midpoint Voltage
0.000,0.00
0.025,0.094
0.050,0.176
0.075,0.258
0.100,0.336
0.125,0.432
0.150,0.536
0.175,0.612
0.200,0.696
0.225,0.784
0.250,0.872
0.275,0.930
0.300,1.02
0.325,1.09
0.350,1.17
0.375,1.25
0.400,1.36
0.425,1.42
0.450,1.50
0.475,1.57
0.500,1.63
0.525,1.70
0.550,1.82
0.575,1.87
0.600,1.91
