Control Voltage,Amp Out
0.0, 0.0
0.025,0.1101
0.05,0.2259
0.075,0.3435
0.1,0.4595
0.125,0.5656
0.15,0.6885
0.175,0.8071
0.2,0.9235
0.225,1.022
0.25,1.133
0.275,1.245
0.3,1.355
0.325,1.475
0.35,1.584
0.375,1.687
0.4,1.801
0.425,1.904
0.45,2.005
0.5,2.192
0.6,2.542
0.7,2.7896
0.8,2.9459
0.9,3.0033
