Amp In,Amp Out,Control Voltage,Attenuation
0,944,400,0.3,-7.4582400594
1,944,382,0.4,-7.8581726277
2,944,354,0.5,-8.5193746454
3,944,302,0.6,-9.8993010268
4,944,250,0.7,-11.5406397125
5,944,203,0.8,-13.3495191277
6,944,143,0.9,-16.3927191367
7,944,99.2,1,-19.5692064429
8,944,69.6,1.1,-22.6472550938
9,944,56,1.2,-24.5356793458
10,944,39.6,1.3,-27.5455361675
11,944,31.8,1.4,-29.4508974863
